CVOL_RS022,Campylobacter_volucris_LMG_24379_GCF_000816345.1
CLA_RS0229,Campylobacter_lari_RM2100_GCF_000019205.1
CPEL_RS023,Campylobacter_peloridis_LMG_23910_GCF_000816785.1
CAQ16704_R,Campylobacter_sp._RM16704_GCF_000816245.1
CSUB8521_R,Campylobacter_subantarcticus_LMG_24374_GCF_000816265.1
EL283_RS00,Campylobacter_insulaenigrae_GCF_900638675.1
EL187_RS02,Campylobacter_insulaenigrae_GCF_900637885.1
CINS_RS021,Campylobacter_insulaenigrae_NCTC_12927_GCF_000816185.1
BN865_RS00,Campylobacter_coli_76339_GCF_000470055.1
BLD43_RS06,Campylobacter_coli_GCF_001865535.1
BLD35_RS00,Campylobacter_coli_GCF_001865455.1
CC14983A_R,Campylobacter_coli_GCF_001717605.1
A6K30_RS00,Campylobacter_coli_GCF_001639125.1
AEI20_RS03,Campylobacter_jejuni_GCF_003368185.1
C9J81_RS01,Campylobacter_coli_GCF_003030205.1
BLD42_RS00,Campylobacter_jejuni_GCF_001865415.1
AB430_RS01,Campylobacter_coli_GCF_001305715.1
EL222_RS00,Campylobacter_jejuni_GCF_900638195.1
AEI17_RS04,Campylobacter_jejuni_GCF_003368165.1
EL229_RS00,Campylobacter_jejuni_subsp._jejuni_GCF_900638235.1
YSS_RS0014,Campylobacter_coli_RM4661_GCF_000583775.1
C9J79_RS02,Campylobacter_jejuni_GCF_003030185.1
A17_RS0015,Campylobacter_jejuni_subsp._jejuni_GCF_003971585.1
FORC83_RS0,Campylobacter_jejuni_GCF_004328905.1
D3Z18_RS01,Campylobacter_jejuni_subsp._jejuni_GCF_003574945.1
EJJ14_RS00,Campylobacter_jejuni_subsp._jejuni_GCF_003950275.1
D6I99_RS00,Campylobacter_jejuni_GCF_004924295.1
AEI23_RS03,Campylobacter_jejuni_GCF_003368225.1
FD987_RS00,Campylobacter_coli_GCF_005517455.1
H730_RS001,Campylobacter_jejuni_subsp._jejuni_R14_GCF_000632435.1
BU815_RS00,Campylobacter_coli_GCF_001936355.1
BLD36_RS00,Campylobacter_coli_GCF_001865555.1
BLD34_RS03,Campylobacter_jejuni_GCF_001865435.1
CPG33_RS01,Campylobacter_jejuni_GCF_002407125.1
BLD37_RS00,Campylobacter_coli_GCF_001865475.1
CJM129_RS0,Campylobacter_jejuni_subsp._jejuni_M129_GCF_001865595.1
CJ8421_RS0,Campylobacter_jejuni_subsp._jejuni_CG8421_GCF_000171795.2
VC76_RS001,Campylobacter_coli_GCF_000954195.1
CRM97_RS01,Campylobacter_jejuni_GCF_002587225.1
CPG34_RS00,Campylobacter_coli_GCF_002407145.1
AXW77_RS00,Campylobacter_jejuni_GCF_001563565.1
B4W62_RS00,Campylobacter_coli_GCF_002024185.1
N149_RS001,Campylobacter_coli_15-537360_GCF_000494775.1
CJE_RS0014,Campylobacter_jejuni_RM1221_GCF_000011865.1
ASB61_RS00,Campylobacter_jejuni_GCF_001432345.1
G157_RS001,Campylobacter_coli_CVM_N29710_GCF_000465235.1
MTVDSCj13_,Campylobacter_jejuni_subsp._jejuni_GCF_001721965.1
CJS3_RS001,Campylobacter_jejuni_subsp._jejuni_S3_GCF_000184205.1
AR446_RS04,Campylobacter_coli_GCF_001417635.1
